00000000000005031267201311050935253,192.168.100.212,1
00000000000005001926201311050935293,192.168.100.212,1
00000000000005008353201311050935333,192.168.100.212,1
00000000000005031244201311050935363,192.168.100.212,1
00000000000005008355201311050935413,192.168.100.212,1
00000000000005001900201311050935473,192.168.100.212,1
00000000000005031246201311050935503,192.168.100.212,1
00000000000005000195201311050935543,192.168.100.212,1
00000000000005005389201311050935583,192.168.100.212,1
00000000000005031267201311050936044,192.168.100.212,1
00000000000005001926201311050936074,192.168.100.212,1
00000000000005008353201311050936114,192.168.100.212,1
00000000000005031244201311050936164,192.168.100.212,1
00000000000005008355201311050936224,192.168.100.212,1
00000000000005001900201311050936294,192.168.100.212,1
00000000000005000195201311050936324,192.168.100.212,1
00000000000005031246201311050936364,192.168.100.212,1
00000000000005005389201311050936424,192.168.100.212,1
